Estacion_Id,Pfb_Fecha,Lod_Latitud_F5,Lod_Longitud_F5,Lod_Cota,Conductividad,18O,2H,d-excess
G311,16-dic-11,5766633.523,5685569.994,24.99789607,914,-4.57,-27.32,9.24
G3110,30-nov-14,5881789.255,5775631.749,5.388739302,4740,-4.60,-25.00,11.80
G3111,30-nov-14,5884489.938,5775606.095,10.28514103,1208,-4.80,-26.00,12.40
G3112,30-nov-14,5884195.633,5772628.553,8,1092,-4.10,-22.00,10.80
G3113,30-nov-14,5891498.55,5777140.657,3,1234,-3.90,-21.00,10.20
G3114,30-nov-14,5896847.064,5780223.839,2.876679026,752,-3.90,-19.00,12.20
G3115,30-nov-14,5896384.073,5785023.332,5.242121281,1095,-4.80,-26.00,12.40
G3116,30-nov-14,5887902.298,5779580.656,7.585609895,6080,-4.40,-25.00,10.20
G3117,30-nov-14,5892131.96,5782131.926,9.043078946,1015,-4.40,-23.00,12.20
G3118,30-nov-14,5885266.747,5777672.621,9.24731214,3513,-4.70,-26.00,11.60
G3119,30-mar-12,5889833.614,5776682.442,5.742242203,1525,-4.10,-21.00,11.80
G3119,30-nov-14,5889833.614,5776682.442,5.742242203,2116,-3.60,-17.00,11.80
G3120,30-mar-12,5896402.42,5781270.354,3,514,-4.90,-27.00,12.20
G3120,30-nov-14,5896402.42,5781270.354,3,514,-4.80,-26.00,12.40
G3121,30-mar-12,5888297.412,5779690.295,4.760963651,962,-5.30,-29.00,13.40
G3121,30-nov-14,5888297.412,5779690.295,4.760963651,935,-4.90,-26.00,13.20
G3122,30-mar-12,5889259.377,5778057.297,15.17696783,1544,-5.00,-27.00,13.00
G3122,30-nov-14,5889259.377,5778057.297,15.17696783,573,-4.70,-26.00,11.60
G3123,30-nov-14,5889194.98,5779048.703,20,614,-6.70,-42.00,11.60
G3123,30-mar-12,5889194.98,5779048.703,20,680,-5.70,-30.00,15.60
G3124,30-mar-12,5888906.323,5776839.389,14.74753288,1544,-5.00,-27.00,13.00
